Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
J001,JM Edwards Jewelry,JM Edwards Jewelry,JM Edwards Jewelry,Inactive,,Echo,Lifestyle,B2C,Monthly,Website Conversions,Last Year Same Period
K001,Keowee Family Dentistry,Keowee Family Dentistry,Keowee Family Dentistry,Active,1,Echo,Home Services,B2C,Monthly,Website Conversions,Last Year Same Period
K002,Kinetico Advanced Water Systems (Denver),Kinetico,Kinetico,Active,4,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
K003,Kinetico Advanced Water Systems (Newport),Kinetico,Kinetico,Active,4,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
K004,Kinetico Advanced Water Systems (Raleigh),Kinetico,Kinetico,Active,4,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
K005,Kinetico Advanced Water Systems (Savannah),Kinetico,Kinetico,Active,4,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
K006,Kinetico Advanced Water Systems (Wilmington),Kinetico,Kinetico,Active,4,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
K007,Kohler Home Energy (National Strategy),Kohler Home Energy (National Strategy),Kohler Home Energy (National Strategy),Inactive,2,Enterprise,Home Services,B2C,Monthly,Leads,Previous Period
L001,Lawn Squad,Lawn Squad,Lawn Squad,Inactive,,Echo,Home Services,B2C,Monthly,Website Conversions,Previous Period
L002,"Lennon, Camak & Bertics Attorneys at Law","Lennon, Camak & Bertics Attorneys at Law",Lennon Camak & Bertics Attorneys at Law,Inactive,,Echo,Professional Services,B2C,Monthly,Clicks,Last Year Same Period
L003,Lumos,Lumos,Lumos,Active,2,Enterprise,Home Services,B2C,Monthly,Website Conversions,Previous Period
L004,Liberty Hardware,Liberty Hardware,Liberty Hardware,Active,2,Echo,Home Services,B2C,Monthly,Sales,Last Year Same Period
L005,Lowcountry Urgent Care,Carolina QuickCare,Carolina QuickCare,Active,1,Echo,Medical,B2C,Monthly,Leads,Last Year Same Period
M001,Mableton Pharmacy,Mableton Pharmacy,Mableton Pharmacy,Active,1,Echo,Medical,B2C,Monthly,Clicks,Last Year Same Period
M002,Marvin Windows,Marvin Windows,Marvin Windows,Inactive,,Echo,Home Services,B2C,Monthly,Clicks,Last Year Same Period
M003,"Material Handling Technologies, Inc.","Material Handling Technologies, Inc.",Material Handling Technologies Inc.,Active,2,Echo,,B2B,Monthly,Clicks,Last Year Same Period
M004,Meyer Tool Huntersville,Meyer Tool Huntersville,Meyer Tool Huntersville,Active,1,Echo,,B2B,Monthly,Clicks,Last Year Same Period
M005,Mintera,Mintera,Mintera,Active,2,Echo,Home Services,B2C,Monthly,Sales,Last Year Same Period
M006,Miss Debbie's Specialty Apples,Miss Debbie's Specialty Apples,Miss Debbie's Specialty Apples,Inactive,,Echo,Food & Bev,B2C,Monthly,Clicks,Last Year Same Period
M007,My Propane Butler,My Propane Butler,My Propane Butler,Inactive,,Echo,Home Services,B2C,Monthly,Clicks,Last Year Same Period
M008,Myers Medical Pharmacy,Myers Medical Pharmacy,Myers Medical Pharmacy,Active,1,Echo,Medical,B2C,Monthly,Clicks,Last Year Same Period
M009,Mister Sparky - Inland Empire,Mister Sparky,Mister Sparky - Inland Empire,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
M010,Mercury Broadband,Mercury Broadband,Mercury Broadband,Active,2,Enterprise,Home Services,B2C,Monthly,Website Conversions,Previous Period
M011,Mister Sparky Central Inland Empire,Mister Sparky,Mister Sparky Central Inland Empire,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
