Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
W021,Window World of Huntsville,Window World,Window World ATL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W022,Window World of Jersey Coast,Window World,Window World of Jersey Coast/North Jersey,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W023,Window World of Joliet,Window World,Window World of Joliet,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W024,Window World of Kansas City,Window World,Window World STL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W025,Window World of Lexington,Window World,Window World of Lexington,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W026,Window World of Long Island,Window World,Window World of Long Island/Westchester,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W027,Window World of New Orleans,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Previous Period
W028,Window World of North Jersey,Window World,Window World of Jersey Coast/North Jersey,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W029,Window World of Northern Ohio (Cleveland),Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W030,Window World of Omaha,Window World,Window World of Omaha,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W031,Window World of Pensacola,Window World,Window World of Pensacola,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W032,Window World of Peoria,Window World,Window World STL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W033,Window World of Pittsburgh,Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W034,Window World of Richmond,Window World,Window World of Richmond,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W035,Window World of Rockford,Window World,Window World of Rockford,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W036,Window World of Southeastern WI,Window World,Window World of Southeastern WI,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W037,Window World of Space Coast,Window World,Window World of Space Coast,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W038,"Window World of Springfield, MO",Window World,"Window World of Springfield, MO",Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W039,Window World of St. Louis,Window World,Window World STL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W040,Window World of Tampa,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Previous Period
W041,Window World of Toledo,Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W042,Window World of Upper Cumberland,Window World,Window World of Upper Cumberland,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W043,Window World of Upper Ohio Valley,Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W044,Window World of Volusia,Window World,Window World of Volusia,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W045,Window World of West Palm Beach,Window World,Window World of West Palm Beach,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W046,Window World of Westchester,Window World,Window World of Long Island/Westchester,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W047,Window World of Western MA,Window World,Window World of Western MA,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W048,Window World of Wichita,Window World,Window World of Wichita,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W049,Window World of Youngstown,Window World,Window World Moran Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W050,Window World of Lincoln,Window World,Window Wolrd of Lincoln/Sioux Falls,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W051,Window World of Sioux Falls,Window World,Window World of Lincoln/Sioux Falls,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W052,Window World of SoCal,Window World,Window World of SoCal,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W053,Window World of San Diego,Window World,Window World of SoCal,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W054,Window World of San Bernardino,Window World,Window World of SoCal,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W055,Window World of Anaheim,Window World,Window World of SoCal,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W056,Window World of Los Angeles,Window World,Window World of SoCal,Inactive,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W057,Window World of Galveston,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W058,Window World of Beaumont,Window World,Window World BTR Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W059,Window World of Muscle Shoals,Window World,Window World ATL Group,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W060,Window World of Utah,Window World,Window World of Utah,Active,3,Echo,Window World,B2C,Monthly,Leads,Last Year Same Period
W061,Woodplay of the Carolinas,Woodplay of the Carolinas,Woodplay of the Carolinas,Active,3,Echo,Professional Services,B2C,Monthly,Leads,Last Year Same Period
Z001,Zip Clinic Urgent Care,Carolina QuickCare,Carolina QuickCare,Active,2,Echo,Medical,B2C,Monthly,Leads,Last Year Same Period
